,motivate,give_hint,clarify_again,reduce_difficulty,increase_difficulty,idle
"state:happy, performance:good",-7.679740874523473,-7.417302112141187,-7.535526083992315,-7.9407867446576,-6.283693305514057,-7.233868607364484
"state:happy, performance:average",-3.0275097080278845,-2.6323533017126253,-2.576461291847159,-2.308141028535271,-1.516795990032045,-2.506664933915835
"state:happy, performance:bad",1.944484947351622,2.845110118845271,2.050895186790349,1.8898918271489953,1.8656708850668007,1.9198743006909629
"state:happy, performance:unanswered",6.577186626460575,7.242657951269302,6.542455562137585,6.784496895869676,6.507783081028398,6.615099918908342
"state:happy, performance:excellent",-12.447198919177236,-12.040918421466277,-11.989998604574401,-12.100828052733128,-11.424325870856858,-12.116131616489882
"state:neutral, performance:good",-4.37529023945465,-4.422113517928464,-4.3681637299636495,-4.390334561903305,-3.8362558587425757,-4.4244589870376965
"state:neutral, performance:average",0.015967697548037535,0.16626985377652265,0.5111701429406554,0.27021222703742365,1.6479018478302825,0.09847123314471806
"state:neutral, performance:bad",4.395952884914851,4.551939921059049,4.305119283588692,6.032302787837784,4.45198102941079,4.5108042083031075
"state:neutral, performance:unanswered",8.619853756276854,8.385849701957667,8.32781763393954,10.960627834374156,8.230133136174071,8.43571981007885
"state:neutral, performance:excellent",-9.318426385882578,-9.167050055072181,-9.70787331465218,-9.647139971946089,-8.030219883779925,-9.5427015935933
"state:anger, performance:good",2.3261142428639516,1.3167098201242478,1.6314286555123494,1.7136802758690863,1.2195498228698196,1.390036281642114
"state:anger, performance:average",7.03755663194679,5.886066170659242,6.049848408745837,6.103785229423362,6.155454630648218,5.970612486003768
"state:anger, performance:bad",11.26514597109885,10.888539224826342,10.341285005630974,10.840028619128518,10.508086162787658,9.99422524765691
"state:anger, performance:unanswered",15.097497012898952,13.96776692956459,15.109439580454309,16.411187990717096,14.800053192107697,15.178975793596024
"state:anger, performance:excellent",-2.0944781817430216,-2.9782687135412518,-3.05891515049903,-3.061909010337399,-3.002534741196173,-3.062932605078693
"state:boredom, performance:good",-1.9767827848010044,-1.697088230004141,-1.8045672247686915,-1.8430527186954664,-1.0684652364210914,-1.902107823708834
"state:boredom, performance:average",2.95734055954886,2.982274032812433,3.6257290404614886,2.9639556969160923,2.8607524514609617,2.708632517541466
"state:boredom, performance:bad",8.271213062259342,7.219519195581629,6.912951143110525,6.775105067882617,6.784880318773132,6.686009698778509
"state:boredom, performance:unanswered",11.84912786653371,11.726988995604065,10.241289888079688,13.085994893017837,11.662289742860782,11.497242455955687
"state:boredom, performance:excellent",-6.846625440150916,-6.82794811898522,-7.288355554049863,-7.28908935766808,-5.710460568980887,-7.304881132336761
"state:deeply anxious, performance:good",1.858068098461532,1.487936054589446,1.4547824460960468,1.4075994133397474,1.4496568443413211,1.555602763524651
"state:deeply anxious, performance:average",6.9261175118962806,6.178973402093134,6.183834407414606,6.213436852369842,6.066519943758462,5.7380758228405995
"state:deeply anxious, performance:bad",11.423140992004988,10.016374502927592,10.668810973985861,10.401287356039438,10.362776435475105,10.179238638226282
"state:deeply anxious, performance:unanswered",16.272400157914067,14.982342075097954,14.93836732910217,14.45254720538068,14.437163010649787,14.19028008867909
"state:deeply anxious, performance:excellent",-3.2256633600984745,-3.3163555072085282,-3.209765360123651,-3.2828991827391203,-3.3722236501032157,-3.228276693575916
"state:overthinking, performance:good",-1.870089214308751,-1.8932151695070814,-1.8296092355639075,-1.8848734470088406,-0.9237268676210227,-1.8513572042279964
"state:overthinking, performance:average",2.391836834713495,2.4231453808865244,2.650146405083494,2.45335442606226,3.857964611029896,2.423252805684201
"state:overthinking, performance:bad",7.0127598194941605,7.3144076694536935,6.953822788981344,7.069769642676537,6.9221818349210125,7.031039676553023
"state:overthinking, performance:unanswered",11.163444290460196,11.154813216960838,11.153364771246029,13.058077348855218,11.33334788120644,11.279846771026406
"state:overthinking, performance:excellent",-6.96773332297794,-7.263610247471269,-7.209470947685316,-7.265885721201634,-5.830353736699732,-6.9778841652912655
"state:losing motivation, performance:good",2.1842453260824333,1.7609252881300477,1.7728405163825962,1.7342983277520934,1.7748835097833962,1.747241890298237
"state:losing motivation, performance:average",7.038178040932223,5.968099452851456,6.177687804242255,6.085971886845527,6.429785991956221,6.160455045946402
"state:losing motivation, performance:bad",11.341559508333141,10.24816127634511,9.923432440532086,8.495162502777738,10.133596620379144,10.072225084009537
"state:losing motivation, performance:unanswered",16.155971331043126,14.99732208912694,14.091451700247708,15.004797999746543,13.531821509900738,14.435890804077657
"state:losing motivation, performance:excellent",-2.4327210494543916,-3.1521859740924665,-3.252997849754049,-3.4345474428334377,-3.474172266719585,-3.335349802368521
"state:slightly stressed, performance:good",-1.412520077544702,-1.5625874090849887,-1.2443015603682288,-0.9202809005284118,-1.3153777421606712,-1.614783330917191
"state:slightly stressed, performance:average",3.7734011311532822,3.469486240273088,3.461560779672153,3.2973623779733394,3.428454029297381,3.3208560923925403
"state:slightly stressed, performance:bad",8.501217540672378,5.475928952184251,4.446064465028421,7.970794782594652,7.083772342828999,6.36614628404447
"state:slightly stressed, performance:unanswered",13.115473075021598,11.791415178891164,11.762208892075106,12.210879780644387,11.86170508172611,11.804177859034787
"state:slightly stressed, performance:excellent",-5.464557112827988,-6.457487763369269,-6.4533037128817465,-6.470923475530345,-6.282798243527381,-6.443003308676279
